,ANGPTL4,BCL11B,CACNB4,CAMK4,CHRM3,CP,DNALI1,EGR1,FGF14,GABRD,GFAP,GRAMD3,GREM2,GRIA3,ITPKB,KCNAB1,KCNIP2,KCNN3,LDB2,MCTP1,MMD,MYT1L,NETO2,PAK3,PENK,PRKCG,PRMT8,RFX4,SCN2B,SLC14A1,SLC7A2,SLC9A7,SYT17,TNC,TPBG
GSM1424090,1.7707764178849024,-0.3996184559702358,0.7815368748854262,0.0022058980698489578,0.4369933019797774,1.6682449802924253,0.3519702234219748,-1.7017515092851938,0.4898308584587225,-0.14938295733704507,-0.39813863126996846,-0.7599941417836834,-0.23134560721789169,-0.5370436259384371,0.505988527837426,-0.8478067840763083,-0.40622380785663276,1.2302516638143899,0.07230815170872085,-0.08089936040753065,-0.7186784411219211,-0.40572405037150605,-0.9039452874598208,-0.04197254398336008,-1.1930013590005208,-0.5322719510248349,-0.481842325010405,0.961669745630446,-0.10324531015518748,0.8989516941893161,-0.13131430892813176,0.21179854673941442,1.2572631324073773,-0.5172658979672505,-0.5647662965602951
GSM1424091,-1.7522370142777233,1.1634839223408684,0.08221330300175918,1.0250021324584688,0.1565020370452807,-1.3221914329192352,-0.9593263048821408,0.5889741751720976,1.145617649057688,1.267285215125836,-1.2526717087317512,-0.7459640611204992,0.7343662835619983,-0.32521026655519863,-1.3329719017162716,1.1627096466273776,-0.6819835795216483,-0.9686823584544779,0.8800265735424682,-0.29884274312767317,0.576920797943661,0.7609332120878787,1.0389363855978726,0.9693828032001229,1.009121009710579,-0.624767132850384,0.9032826752657771,-0.7736545562093046,1.3331333427074694,-0.4610336479246241,-0.9711073309448978,1.6342222921091365,1.5241396054861982,-1.4881611250008226,1.6675498617550257
GSM1424092,0.02664024779797578,0.2437422670865689,0.7207334508357096,0.2821043094871433,-0.8519749636097484,1.0918058570355054,-0.22626623334079388,0.5142151810685058,0.3972248195480695,0.41998551420233765,0.532529810000919,0.24517140711633045,0.03953383958095308,-0.8659723029172329,-0.5344303861462545,0.10073613218891239,-0.81020954742556,0.17033720359393786,0.35426890369345376,0.23890595723275113,-0.13638907197372693,0.10561253831987345,-0.08678592365488388,0.31959835234323647,-0.8935386637193348,-1.4128800907593335,-0.19519374372486192,0.5506777905799808,-1.6164480673794277,1.1440304874072134,-0.32399644193942634,-0.8029707421872267,-0.20976071837822158,0.49056335648847116,-0.08724461555853805
GSM1424093,-0.05159083036396975,0.16690404380958593,0.6772756308971717,0.6637204234485113,0.09655223861617404,1.0916100458219429,-1.5657415065563878,-0.5763668817600874,0.34236073349263113,0.7780305865682576,-0.44479735892925265,0.12645133357997992,-0.5599269728929906,-0.6123547483605898,-0.2820586702704717,0.25264142412125173,-0.5493154016692854,0.3079627876416428,0.3085781031939607,0.8639627742418202,0.6832729356695482,0.22323167224900828,0.4542971825250485,0.21587500103442306,0.13187487395193281,-1.11589113257969,0.38437173062988095,0.3657103602586386,-0.001122063067151801,1.3002698971829403,-0.26574667306836985,-0.20795969666692438,-0.14299595727456751,-0.08086520773579067,0.10972194361575427
GSM1424094,-1.0543563126644786,0.27881628779752077,1.130205719308909,1.448182509177125,0.5871445449188646,-1.0088957897728537,-0.6964366978645697,1.261852887644166,1.3015189153605686,1.4909347152666204,-0.671334232516491,0.21453169264341884,-0.14422619434347067,-0.49335524596012215,-1.1588012892390984,0.8221300735871404,-0.8919419231095721,-0.6276489126853934,1.336144776869049,1.3903316552165426,0.6466779928046608,1.0402061917040093,1.0504753844730548,0.9542014627982996,0.45278238901006,-1.2120254471644896,0.7248113797704959,0.18812432002321156,-0.12114245521699027,-0.5337134601389545,-0.41926657372824616,0.4756374077139456,-0.5198995545658643,-0.12475977362616053,1.850508527368859
GSM1424095,2.0568909864592224,-0.45266729075961565,0.09042126778837245,0.056587991523634334,-0.22338091574188015,1.3994654216087603,-0.1083203303758772,-1.3414993652482272,0.3979926327698283,0.4013695245307276,1.5963376072355535,0.15618900706136854,-0.592998463266581,-0.7567876615800133,0.922242859410935,-0.29590002378182917,-1.0505519109500208,0.24767939418923957,-0.06842848196540673,-0.04569307827205457,-0.3407490332054745,-0.08978663122615288,-0.5037005378176178,0.011741068635727794,-0.38122232972420733,-1.5559540704764492,-0.420484879585905,2.1483469300803106,-0.009442778526110949,0.5265728113581783,1.075801348971743,-0.17151834506458385,-0.8752983056422781,0.6757532904258684,-0.27697456986026936
GSM1424096,-0.8524731129874263,0.7288446167833778,0.6801009302856754,0.9406401238368688,0.8185817547014029,-0.5079155964468346,-0.21269783096379705,0.641752134382521,1.2036096960740839,1.1606902771709577,-0.6934900066963515,-0.26785230992416925,0.695697015329928,-0.03049308194733857,-0.8442769658874425,0.9194955526361878,-1.3847574140634062,-0.427737916452101,1.169294126698949,0.6695999076705577,-0.35896851611896924,0.7618895344051035,0.7608898426113836,1.1332198952341321,1.152901144871732,-1.16414391254069,0.6598077531453926,-0.7681614334044102,-0.8446496430325026,-0.3562509020456693,-0.9702813981522407,0.4268824333941923,-0.3046066950256968,0.9543137752040458,0.6250120773542208
GSM1424097,-1.7130048830651288,1.6958413138973973,0.6459753400298596,1.2598825064759163,1.1371069432481318,-1.5341977432266583,-1.6449352234791912,0.27216142002302457,1.610596443856754,0.455065813323614,-1.5285605650475051,-0.9743677460826273,1.0342045280604284,0.43071428122913347,-1.6826075535262226,1.925819529309214,-1.8557801315984677,-2.191433536759355,1.3103828396212704,1.7237709657403795,1.8177382559514677,0.9072702261466878,1.7353532919996766,1.4780377131576898,1.2912922312100719,-1.300960066708645,0.460521837513885,-2.7481049923317737,-0.12266898477701108,-2.1905562517630366,-2.047702692772301,-0.8661338910676978,0.4860525180971341,-1.3187142797835267,0.5851597145204229
GSM1424098,1.9512159142385739,0.6763591101859205,-0.548326123674452,-0.43638753176358386,0.26450479015547607,1.3794388916749125,1.0918363060228355,-1.3634926192329575,-0.13595009833622884,0.14003525612269074,-0.3067133822590369,-1.7368464474429872,-0.455513007770718,-2.482535271700002,0.46950114315799524,-1.2648288070074385,-0.9347355265615179,-0.34424638818071795,-0.0635557388219434,-0.6975405945842097,-1.3254748492954247,-0.2635991525863169,0.08549727372633396,-0.2788689213062073,-0.8985471144164832,-0.8527546426519447,-0.2665121366573867,1.3695860698909317,-0.7480508674080361,-1.7886823652163106,1.08289319769022,-1.7987749681983407,0.8904903995331642,1.365908688225957,-1.1759430479488238
GSM1424099,0.9556208480328142,-0.34851586940684887,0.1432000338679799,0.09359475216653085,-0.17667257958655155,1.7401261096368201,-0.6857302047739522,-1.417019645783669,0.4874875149333919,-0.06928090319859907,0.002583847679966748,0.7717606150224344,-0.14687384684901406,-0.7382325885247364,0.3124781936197289,-0.16223067492446955,-1.8263893830704525,0.7505137741572189,0.5034484986938955,-0.7320718272651331,-0.37619711919405474,0.009937594448938393,-0.04293767578730789,0.5349068935339094,-1.616186024696947,-1.6437197314357668,-0.3368564259006574,1.3950193990322328,-2.4435886483907825,0.8536380948788318,0.30778690829452027,-1.9221007340693226,-0.701912331638867,1.5634406241866075,-0.9221988213166908
